hour_of_the_day,day_of_the_week,client_user,client_host,client_ip,CONNECT_DATA_SERVICE_NAME,client_program,CONNECT_DATA_INSTANCE_NAME,service_name,oracle_sid,hostname,type
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.82611111111111,1,,,,,,,INT6R1,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.826666666666666,1,,,,,,,INT11R2,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.82611111111111,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.82611111111111,1,,,,,,,INT6R1,INT11R_RAC13,itrac1323.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.82638888888889,1,,,,,,,INT11R1,INT11R_RAC13,itrac1323.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.82638888888889,1,,,,,,,INT11R1,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.827222222222222,1,,,,,,,INT11R1,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.82638888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.82611111111111,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.8275,1,,,,,,,INT11R2,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.82638888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,,int11r.cern.ch,INT11R_RAC13,itrac1323.cern.ch,dbconnection
11.827222222222222,1,root,vmepc-s2g17-25-01,10.176.8.162,int2r_lb.cern.ch,python,,int2r_lb.cern.ch,INT2R_RAC13,itrac1307.cern.ch,dbconnection
11.8275,1,oracle,itrac50096.cern.ch,10.16.8.137,int8r_lb.cern.ch,sqlplus,,int8r_lb.cern.ch,INT8R_RAC13,itrac1318.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.82638888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.826666666666666,1,,,,,,,INT11R2,INT11R_RAC13,itrac1323.cern.ch,dbconnection
11.82638888888889,1,,,,,,,DEVDB112,DEVDB12_RAC13,itrac1316.cern.ch,dbconnection
11.827777777777778,1,oracle,itrac50096.cern.ch,10.16.8.137,intr.cern.ch,sqlplus,,intr.cern.ch,INT8R_RAC13,itrac1318.cern.ch,dbconnection
11.8275,1,oracle,itrac50096.cern.ch,10.16.8.137,atlas_switchover_simulation.cern.ch,sqlplus,INT8R1,atlas_switchover_simulation.cern.ch,INT8R_RAC13,itrac1312.cern.ch,dbconnection
11.82638888888889,1,oracle,itrac1317.cern.ch,,,,,,DEVDB12_RAC13,itrac1317.cern.ch,dbconnection
11.8275,1,oracle,itrac50096.cern.ch,10.16.8.137,int8r.cern.ch,sqlplus,INT8R2,int8r.cern.ch,INT8R_RAC13,itrac1318.cern.ch,dbconnection
11.82638888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,,int11r.cern.ch,INT11R_RAC13,itrac1323.cern.ch,dbconnection
11.825833333333334,1,,,,,,,DEVDB111,DEVDB12_RAC13,itrac1316.cern.ch,dbconnection
11.827777777777778,1,oracle,itrac50096.cern.ch,10.16.8.137,int8r_nolb.cern.ch,sqlplus,,int8r_nolb.cern.ch,INT8R_RAC13,itrac1318.cern.ch,dbconnection
11.828055555555554,1,oracle,itrac50096.cern.ch,10.16.8.137,int8r.cern.ch,sqlplus,INT8R1,int8r.cern.ch,INT8R_RAC13,itrac1312.cern.ch,dbconnection
11.826666666666666,1,jps001,__jdbc__,188.184.140.90,devdb11_s.cern.ch,JDBC Thin Client,,devdb11_s.cern.ch,DEVDB12_RAC13,itrac1317.cern.ch,dbconnection
11.827777777777778,1,oracle,itrac50096.cern.ch,10.16.8.137,int8r_panda.cern.ch,sqlplus,INT8R2,int8r_panda.cern.ch,INT8R_RAC13,itrac1318.cern.ch,dbconnection
11.82861111111111,1,,,,,,,INTR1,INT8R_RAC13,itrac1312.cern.ch,dbconnection
11.826944444444445,1,danielma,__jdbc__,128.141.79.76,devdb11_s.cern.ch,JDBC Thin Client,DEVDB112,devdb11_s.cern.ch,DEVDB12_RAC13,itrac1317.cern.ch,dbconnection
11.827777777777778,1,oracle,itrac50096.cern.ch,10.16.8.137,int8r_rucio.cern.ch,sqlplus,INT8R2,int8r_rucio.cern.ch,INT8R_RAC13,itrac1318.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.826666666666666,1,dboard,dashb-ai-511.cern.ch,128.142.243.17,int11r_nolb.cern.ch,python,,int11r_nolb.cern.ch,INT11R_RAC13,itrac1323.cern.ch,dbconnection
11.825833333333334,1,,,,,,,INT2R1,INT2R_RAC13,itrac1307.cern.ch,dbconnection
11.828055555555554,1,jps001,__jdbc__,188.184.140.90,devdb11_s.cern.ch,JDBC Thin Client,,devdb11_s.cern.ch,DEVDB12_RAC13,itrac1317.cern.ch,dbconnection
11.8275,1,,,,,,,INT11R2,INT11R_RAC13,itrac1323.cern.ch,dbconnection
11.82638888888889,1,sysctl,db-51220.cern.ch,137.138.161.92,devdb11_s.cern.ch,perl,DEVDB112,devdb11_s.cern.ch,DEVDB12_RAC13,itrac1317.cern.ch,dbconnection
11.82861111111111,1,,,,,,,INTR1,INT8R_RAC13,itrac1318.cern.ch,dbconnection
11.82611111111111,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,,int11r.cern.ch,INT11R_RAC13,itrac1323.cern.ch,dbconnection
11.827222222222222,1,trackerpro,srv-c2f38-25-01,10.176.65.40,int9r_lb.cern.ch,dbuploader.exe,INT9R2,int9r_lb.cern.ch,INT2R_RAC13,itrac1307.cern.ch,dbconnection
11.8275,1,oracle,itrac50096.cern.ch,10.16.8.137,atlas_switchover_simulation.cern.ch,sqlplus,,atlas_switchover_simulation.cern.ch,INT8R_RAC13,itrac1318.cern.ch,dbconnection
11.827777777777778,1,oracle,itrac50096.cern.ch,10.16.8.137,intr.cern.ch,sqlplus,INTR1,intr.cern.ch,INT8R_RAC13,itrac1312.cern.ch,dbconnection
11.82638888888889,1,,,,,,,DEVDB112,DEVDB12_RAC13,itrac1317.cern.ch,dbconnection
11.8275,1,oracle,itrac50096.cern.ch,10.16.8.137,int8r_lb.cern.ch,sqlplus,INT8R2,int8r_lb.cern.ch,INT8R_RAC13,itrac1318.cern.ch,dbconnection
11.82611111111111,1,,,,,,,INT6R1,INT11R_RAC13,itrac1323.cern.ch,dbconnection
11.8275,1,,,,,,,INT2R1,INT2R_RAC13,itrac1307.cern.ch,dbconnection
11.829722222222221,1,,,,,,,INTDB112,INTDB11_RAC13,itrac1306.cern.ch,dbconnection
11.821111111111112,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,INT11R2,int11r.cern.ch,INT11R_RAC13,itrac1325.cern.ch,dbconnection
11.82611111111111,1,merge,pcamsj2.cern.ch,137.138.188.167,int11r.cern.ch,python,,int11r.cern.ch,INT11R_RAC13,itrac1323.cern.ch,dbconnection
11.827222222222222,1,trackerpro,srv-c2f38-25-01,10.176.65.40,int9r_lb.cern.ch,dbuploader.exe,,int9r_lb.cern.ch,INT2R_RAC13,itrac1307.cern.ch,dbconnection
11.828888888888889,1,,,,,,,INTDB112,INTDB11_RAC13,itrac1306.cern.ch,dbconnection
11.827222222222222,1,,,,,,,INT11R1,INT11R_RAC13,itrac1323.cern.ch,dbconnection
